['INFO ]2023-07-03 12:33:19,382(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user opens portal page
['INFO ]2023-07-03 12:33:51,330(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user opens portal page
['INFO ]2023-07-03 12:44:07,669(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user opens portal page
['INFO ]2023-07-03 12:44:11,195(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user opens Register page
['INFO ]2023-07-03 12:44:11,396(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user opens Register page
['INFO ]2023-07-03 12:44:11,696(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user opens Register page
['INFO ]2023-07-03 12:44:12,263(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user opens Register page
['INFO ]2023-07-03 12:44:12,678(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user opens Register page
['INFO ]2023-07-03 12:44:13,264(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user is in the sign in page
['INFO ]2023-07-03 12:44:13,512(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user is in the sign in page
['INFO ]2023-07-03 12:44:14,246(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user is in the sign in page
['INFO ]2023-07-03 12:44:14,641(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user is in the sign in page
['INFO ]2023-07-03 12:44:15,058(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user is in the sign in page
['INFO ]2023-07-03 12:44:15,463(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user is in the sign in page
['INFO ]2023-07-03 12:44:16,486(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user is in the sign in page
['INFO ]2023-07-03 12:44:17,111(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user is in the sign in page
['INFO ]2023-07-03 12:44:17,640(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user is in the sign in page
['INFO ]2023-07-03 12:44:37,958(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user is in the sign in page
['INFO ]2023-07-03 12:44:52,811(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user is in the sign in page
['INFO ]2023-07-03 12:44:59,860(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user is in the sign in page
['INFO ]2023-07-03 12:45:08,455(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user is in the sign in page
['INFO ]2023-07-03 14:07:25,904(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user opens portal page
['INFO ]2023-07-03 14:07:26,202(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user clicks getting started button
['INFO ]2023-07-03 14:07:26,219(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user should go to home page
['INFO ]2023-07-03 14:07:26,225(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-page title shoul be
['INFO ]2023-07-03 14:07:26,460(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user opens Home Page
['INFO ]2023-07-03 14:07:26,714(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user clicks on Get Started link on homepage {string} without login
['INFO ]2023-07-03 14:07:26,751(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user get warning message 
['INFO ]2023-07-03 14:07:26,859(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user opens Home Page
['INFO ]2023-07-03 14:07:27,098(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user clicks on Get Started link on homepage {string} without login
['INFO ]2023-07-03 14:07:27,130(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user get warning message 
['INFO ]2023-07-03 14:07:27,242(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user opens Home Page
['INFO ]2023-07-03 14:07:27,439(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user clicks on Get Started link on homepage {string} without login
['INFO ]2023-07-03 14:07:27,461(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user get warning message 
['INFO ]2023-07-03 14:07:27,574(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user opens Home Page
['INFO ]2023-07-03 14:07:27,816(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user clicks on Get Started link on homepage {string} without login
['INFO ]2023-07-03 14:07:27,843(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user get warning message 
['INFO ]2023-07-03 14:07:27,947(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user opens Home Page
['INFO ]2023-07-03 14:07:28,189(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user clicks on Get Started link on homepage {string} without login
['INFO ]2023-07-03 14:07:28,220(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user get warning message 
['INFO ]2023-07-03 14:07:28,315(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user opens Home Page
['INFO ]2023-07-03 14:07:28,560(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user clicks on Get Started link on homepage {string} without login
['INFO ]2023-07-03 14:07:28,590(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user get warning message 
['INFO ]2023-07-03 14:07:28,694(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user opens Home Page
['INFO ]2023-07-03 14:07:28,937(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user clicks on Get Started link on homepage {string} without login
['INFO ]2023-07-03 14:07:28,969(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user get warning message 
['INFO ]2023-07-03 14:07:29,076(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user opens Home Page
['INFO ]2023-07-03 14:07:29,242(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user clicks Sign in
['INFO ]2023-07-03 14:07:29,259(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user should be redirected to Sign in page
['INFO ]2023-07-03 14:07:29,379(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user opens Home Page
['INFO ]2023-07-03 14:07:29,544(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user clicks Register
['INFO ]2023-07-03 14:07:29,560(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user should be redirected to Register form
['INFO ]2023-07-03 14:07:29,688(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user opens Register page
['INFO ]2023-07-03 14:07:29,763(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user clicks Register button with all fields empty
['INFO ]2023-07-03 14:07:29,804(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-It should display an error {string} below Username textbox
['INFO ]2023-07-03 14:07:29,929(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user opens Register page
['INFO ]2023-07-03 14:07:30,073(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-When The user clicks Register button after entering username with other fields empty
['INFO ]2023-07-03 14:07:30,114(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-It should display an error {string} below Password textbox
['INFO ]2023-07-03 14:07:30,258(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user opens Register page
['INFO ]2023-07-03 14:07:30,626(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user enters a username with characters other than Letters, digits and special characters
['INFO ]2023-07-03 14:07:30,957(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user opens Register page
['INFO ]2023-07-03 14:07:31,286(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user clicks Register button after entering valid username and different passwords in password and password confirmation fields
['INFO ]2023-07-03 14:07:31,308(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-It should display an error message
['INFO ]2023-07-03 14:07:31,417(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user opens Register page
['INFO ]2023-07-03 14:07:31,753(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user enters a valid username and password and password confirmation
['INFO ]2023-07-03 14:07:32,045(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user is in the sign in page
['INFO ]2023-07-03 14:07:32,193(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user clicks on register link on signin page
['INFO ]2023-07-03 14:07:32,210(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user redirected to Registration page from signin page and title is {string}
['INFO ]2023-07-03 14:07:32,326(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user is in the sign in page
['INFO ]2023-07-03 14:07:32,472(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user enters a valid {string} and {string}
['INFO ]2023-07-03 14:07:32,814(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-click login button to verify and pagetitle is 
['INFO ]2023-07-03 14:07:33,004(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-logout of the page
['INFO ]2023-07-03 14:07:33,139(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user is in the sign in page
['INFO ]2023-07-03 14:07:33,292(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user enter invalid {string} and {string}
['INFO ]2023-07-03 14:07:33,542(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-click login button to verify and pagetitle is 
['INFO ]2023-07-03 14:07:33,639(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user is in the sign in page
['INFO ]2023-07-03 14:07:33,786(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user enter invalid {string} and {string}
['INFO ]2023-07-03 14:07:34,042(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-click login button to verify and pagetitle is 
['INFO ]2023-07-03 14:07:34,148(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user is in the sign in page
['INFO ]2023-07-03 14:07:34,292(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-The user enter invalid {string} and {string}
['INFO ]2023-07-03 14:07:34,540(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-click login button to verify and pagetitle is 
['INFO ]2023-07-03 14:07:34,643(yyyy-MM-ddHH:mm:ss.SSS][main]com.qa.util.loggerLoad1)-user is in the sign in page
